Cart #,Title,Artist(s),Category
153627,Where Are U Now,Skrillex & Diplo/Justin Bieber,GOLD 12-17
154199,Hurts So Good,Astrid S,GOLD 12-17
154391,Shout Out To My Ex,Little Mix,GOLD 12-17
151980,Boyfriend,Justin Bieber,GOLD 12-17
153787,Roses,The Chainsmokers/Rozes,GOLD 12-17
153955,Lush Life,Zara Larsson,GOLD 12-17
153464,Blank Space,Taylor Swift,GOLD 12-17
152468,Can't Hold Us,Macklemore/Ray Dalton,GOLD 12-17
154157,This Is What You Came For,Calvin Harris/Rihanna,GOLD 12-17
153290,Summer,Calvin Harris,GOLD 12-17
154344,Sexual,NEIKED/Dyo,GOLD 12-17
152384,Ho! Hey,The Lumineers,GOLD 12-17
152763,Wake Me Up,Avicii/Aloe Blacc,GOLD 12-17
153839,Perfect,One Direction,GOLD 12-17
153334,Somebody To You,The Vamps/Demi Lovato,GOLD 12-17
154448,Touch,Little Mix,GOLD 12-17
152269,Beauty and a Beat,Justin Bieber/Nicki Minaj,GOLD 12-17
152476,Mirrors,Justin Timberlake,GOLD 12-17
153438,Steal My Girl,One Direction,GOLD 12-17
154313,Let Me Love You,Justin Bieber/DJ Snake,GOLD 12-17
153216,Afterglow,Becky Hill/Wilkinson,GOLD 12-17
151873,I Like It Like That,Hot Chelle Rae,GOLD 12-17
154144,Be The One,Dua Lipa,GOLD 12-17
153846,Sorry,Justin Bieber,GOLD 12-17
152545,Latch,Disclosure/Sam Smith,GOLD 12-17
152285,Thrift Shop,Macklemore & Ryan Lewis,GOLD 12-17
153774,What Do You Mean?,Justin Bieber,GOLD 12-17
153614,White Lines,Six60,GOLD 12-17
153573,Earned It,The Weeknd,GOLD 12-17
153784,My House,Flo Rida,GOLD 12-17
154028,I Took A Pill In Ibiza,Mike Posner,GOLD 12-17
153321,Problem,Ariana Grande/Iggy Azalea,GOLD 12-17
153999,Pillowtalk,Zayn,GOLD 12-17
153259,Rather Be,Clean Bandit/Jess Glynne,GOLD 12-17
153740,Here,Alessia Cara,GOLD 12-17
154292,Cold Water,Justin Bieber/Major Lazer,GOLD 12-17
154071,Gold,Kiiara,GOLD 12-17
154075,Dangerous Woman,Ariana Grande,GOLD 12-17
153872,History,One Direction,GOLD 12-17
153203,Trumpets,Jason Derulo,GOLD 12-17
153595,Lean On,Major Lazer/Mo,GOLD 12-17
152228,Summertime Sadness,Lana Del Ray,GOLD 12-17
154209,Love On The Brain,Rihanna,GOLD 12-17
153254,She Looks So Perfect,5 Seconds Of Summer,GOLD 12-17
153364,Break Free,Ariana Grande/Zedd,GOLD 12-17
152130,One More Night,Maroon 5,GOLD 12-17
152505,Lost,Frank Ocean,GOLD 12-17
153760,The Hills,The Weeknd,GOLD 12-17
153982,Never Be Like You,Flume/Kai,GOLD 12-17
154300,Closer,Halsey/The Chainsmokers,GOLD 12-17
152193,Battlescars,Guy Sebastian/Lupe Fiasco,GOLD 12-17
152315,I Knew You Were Trouble,Taylor Swift,GOLD 12-17
154000,Cheap Thrills,Sia,GOLD 12-17
151977,Don't Stop The Music,Rihanna,T/B Mild
152178,See You Again,Miley Cyrus,T/B Mild
153389,Only Love Can Hurt Like This,Paloma Faith,T/B Mild
153344,Boom Clap,Charli XCX,T/B Mild
151965,Where Have You Been,Rihanna/Calvin Harris,T/B Mild
151888,Apologise,Timbaland/One Republic,T/B Mild
152644,Run This Town,Jay-Z/Kanye West/Rihanna,T/B Mild
151242,Where Them Girls At,David Guetta/Flo Rida/Nicki Minaj,T/B Mild
151615,We Found Love,Rihanna/Calvin Harris,T/B Mild
152931,Airplanes,B.o.B/Paramore,T/B Mild
151728,Earthquake,Labrinth,T/B Mild
152949,Not Afraid,Eminem,T/B Mild
152091,Lights,Ellie Goulding,T/B Mild
152493,Right Round,Flo Rida/Kesha,T/B Mild
151672,What Makes You Beautiful,One Direction,T/B Mild
151811,"Young, Wild and Free",Wiz Khalifa/Bruno Mars,T/B Mild
152222,Disturbia,Rihanna,T/B Mild
151096,Give Me Everything,Pitbull/Ne-Yo,T/B Mild
152760,Replay,Iyaz,T/B Mild
151830,Wild Ones,Flo Rida/Sia,T/B Mild
151604,Umbrella,Rihanna/Jay-Z,T/B Mild
150073,Promiscuous,Nelly Furtado/Timbaland,T/B Mild
152851,Nothin' On You,B.o.B/Bruno Mars,T/B Mild
153133,Hello,Martin Solvei/Dragonette,T/B Mild
152013,Low,Flo Rida/T-Pain,T/B Mild
150443,Price Tag,Jessie J/BoB,T/B Mild
150397,S & M,Rihanna,T/B Mild
152982,Club Can't Handle Me,Flo Rida/David Guetta,T/B Mild
152999,Take It Off,Ke$ha,T/B Mild
152844,Rude Boy,Rihanna,T/B Mild
152077,Untouched,The Veronicas,T/B Mild
151603,Feel So Close,Calvin Harris,T/B Mild
151573,Thanks For The Memories,Fall Out Boy,T/B Mild
152366,Gives You Hell,All American Rejects,T/B Mild
151752,The A Team,Ed Sheeran,T/B Mild
152788,If We Ever Meet Again,Timbaland/Katy Perry,T/B Mild
153067,Just A Dream,Nelly,T/B Mild
153057,Only Girl (In The World),Rihanna,T/B Mild
152766,In My Head,Jason Derulo,T/B Mild
152356,Live Your Life,T.I/Rihanna,T/B Mild
152207,Closer,Ne-Yo,T/B Mild
152804,Memories,David Guetta/Kid Cudi,T/B Mild
151849,One Thing,One Direction,T/B Mild
151732,The Way I Are,Keri Hilson/Timbaland,T/B Mild
151974,Bleeding Love,Leona Lewis,T/B Mild
151484,Cheers (Drink to That),Rihanna,T/B Mild
152232,Just Dance,Lady GaGa,T/B Mild
151497,Stereo Hearts,Gym Class Heroes/Maroon 5,T/B Mild
152365,Use Somebody,Kings Of Leon,T/B Mild
151766,Titanium,David Guetta/Sia,T/B Mild
151306,Pumped Up Kicks,Foster The People,T/B Mild
152990,Dynamite,Taio Cruz,T/B Mild
153112,Rolling In The Deep,Adele,T/B Mild
152724,Whatcha Say,Jason Derulo,T/B Mild
152662,Party In The USA,Miley Cyrus,T/B Mild
152685,Tik Tok,Kesha,T/B Mild
152909,Ridin' Solo,Jason Derulo,T/B Mild
151541,Domino,Jessie J,T/B Mild
151922,Part of Me,Katy Perry,T/B Mild
151234,The Sweet Escape,Gwen Stefani,T/B Mild
151508,Tonight Tonight,Hot Chelle Rae,T/B Mild
150063,Misery Business,Paramore,T/B Mild
150012,Sexy Back,Justin Timberlake,T/B Mild
151655,Paradise,Coldplay,T/B Mild
152167,I love It,Charli XCX/Icona Pop,T/B Mild
152984,Love The Way You Lie,Eminem/Rihanna,T/B Mild
153008,DJ Got Us Falling In Love,Usher/Pitbull,T/B Mild
152612,Good Girls Go Bad,Cobra Starship/Leighton Meester,T/B Mild
152681,Down,Jay Sean/Lil Wayne,T/B Mild
152204,Shake It,Metro Station,T/B Mild
152924,Billionaire,Travie McCoy/Bruno Mars,T/B Mild
151543,Without You,David Guetta/Usher,T/B Spicy
152430,Walking On A Dream,Empire Of The Sun,T/B Spicy
152595,Paparazzi,Lady GaGa,T/B Spicy
150395,Party Rock Anthem,LMFAO,T/B Spicy
151051,The Show Goes On,Lupe Fiasco,T/B Spicy
151201,Glamorous,Fergie/Ludacris,T/B Spicy
151523,It Girl,Jason Derulo,T/B Spicy
153167,Can We Dance,The Vamps,T/B Spicy
152915,Your Love Is My Drug,Ke$ha,T/B Spicy
151111,Rock This Party,Bob Sinclar,T/B Spicy
152280,Sweet Nothing,Calvin Harris/ Florence & The Machine,T/B Spicy
151834,Stronger,Kanye West,T/B Spicy
152016,Drunk,Ed Sheeran,T/B Spicy
151555,Good Feeling,Flo Rida,T/B Spicy
151425,Girlfriend,Avril Lavigne,T/B Spicy
152778,Telephone,Lady Gaga & Beyonce,T/B Spicy
152272,Electric Feel,MGMT,T/B Spicy
152398,Kiss You,One Direction,T/B Spicy
151791,Levels,Avicii,T/B Spicy
152226,Viva La Vida,Coldplay,T/B Spicy
152489,Heartattack,Demi Lovato,T/B Spicy
152298,Sex On Fire,Kings Of Leon,T/B Spicy
151969,Turn All The Lights On,T-Pain/Ne-Yo,T/B Spicy
150393,All of the Lights,Kanye West/Rihanna,T/B Spicy
151520,Set Fire To The Rain,Adele,T/B Spicy
156944,Sure Thing,Miguel,T/B Spicy
152707,Empire State Of Mind,Jay-Z/Alicia Keys,T/B Spicy
152349,Burnin' Up,Jonas Brothers,T/B Spicy
150418,Happiness,Alexis Jordan,T/B Spicy
153043,Kickstarts,Example,T/B Spicy
152092,Love In This Club,Usher,T/B Spicy
152030,Payphone,Maroon 5/Wiz Khalifa,T/B Spicy
152146,Spectrum (Say My Name),Florence & the Machine/Calvin Harris,T/B Spicy
153190,Rude,Magic,T/B Spicy
151964,Call Me Maybe,Carly Rae Jepsen,T/B Spicy
152641,Waiting All Night,Rudimental,T/B Spicy
150044,Maneater,Nelly Furtado,T/B Spicy
153155,Timber,Pitbull Feat Ke$ha,T/B Spicy
152771,Burn,Ellie Goulding,T/B Spicy
153153,Elastic Heart,Sia/The Weeknd,T/B Spicy
152559,When Love Takes Over,David Guetta/Kelly Rowland,T/B Spicy
152327,Miss Independent,Ne-Yo,T/B Spicy
150006,I Write Sins Not Tragedies,Panic! At The Disco,T/B Spicy
151531,Don't Matter,Akon,T/B Spicy
153450,Outside,Calvin Harris/Ellie Goulding,T/B Spicy
151514,Sexy And I Know It,LMFAO,T/B Spicy
151326,Grace Kelly,Mika,T/B Spicy
151342,What Goes Around Comes around,Justin Timberlake,T/B Spicy
152451,Day N Night (Remix),Kid Cudi/Crookers,T/B Spicy
150043,London Bridge,Fergie,T/B Spicy
150151,Numb - Encore,Linkin Park/Jay-Z,T/B Spicy
151031,Too Little Too Late,JoJo,T/B Spicy
151066,Say It Right,Nelly Furtado,T/B Spicy
152113,Good Time,Owl City/Carly Rae Jepsen,T/B Spicy
151731,Ass Back Home,Gym Class Heroes,T/B Spicy
150332,Hips Don't Lie,Wyclef Jean/Shakira,T/B Spicy
152350,Womanizer,Britney Spears,T/B Spicy
150458,Love Love Love,Avalanche City,T/B Spicy
150812,E.T *REMIX*,Katy Perry/Kanye West,T/B Spicy
156045,Savage Love,Jason Derulo/Jawsh 685,NZ Filler
151447,Don't Forget Your Roots,Six60,NZ Filler
155184,Old News,Mitch James,NZ Filler
156621,Cool It Down,Coterie,NZ Filler
154917,Vibes,Six60,NZ Filler
155864,Never Enough,Six60,NZ Filler
156349,Wavy,Muroki,NZ Filler
154446,Move On,Mitch James,NZ Filler
154176,Don't Worry About It,Kings,NZ Filler
156929,Take It Away,L.A.B,NZ Filler
153922,Swing,Savage,NZ Filler
157427,Seconds To Midnight (11:59),Cassie Henderson,NZ Filler
157553,Over Romantic,Riiki Reid,NZ Filler
154585,Shelter,Sachi/Nika,NZ Filler
157795,24/7,Drax Project,NZ Filler
151934,Forever,Six60,NZ Filler
154887,Don't Give It Up,Six60,NZ Filler
153211,Bridges,Broods,NZ Filler
156990,Till You're Ready,Navvy,NZ Filler
155952,Supalonely,Benee,NZ Filler
155902,In The Air,L.A.B,NZ Filler
152313,Everything,P-Money/Vince Harder,NZ Filler
154641,Supercut,Lorde,NZ Filler
156280,Yes I Do,L.A.B,NZ Filler
155167,Toto,Drax Project,NZ Filler
155000,Nothing To Regret,Robinson,NZ Filler
152449,My Delirium,Ladyhawke,NZ Filler
152485,Royals,Lorde,NZ Filler
155253,Soaked,Benee,NZ Filler
154518,Green Light,Lorde,NZ Filler
154873,All The Ways To Say Goodbye,Mitch James,NZ Filler
155504,All This Time,Drax Project,NZ Filler
157163,Casanova,L.A.B,NZ Filler
152363,The Letter,Midnight Youth,NZ Filler
157076,Whatever,Cassie Henderson,NZ Filler
156239,Fade Away,Six60,NZ Filler
153062,Team,Lorde,NZ Filler
153355,Mother and Father,Broods,NZ Filler
155287,Bright Blue Skies,Mitch James,NZ Filler
153117,Rise Up 2.0,Six60,NZ Filler
152578,My House,Kids Of 88,NZ Filler
151704,Only To Be,Six60,NZ Filler
152717,Tennis Court,Lorde,NZ Filler
151534,Somebody That I Used To Know,Gotye/Kimbra,NZ Filler
153459,Freaks,Savage/Timmy Trumpet,NZ Filler
155824,Sunday Morning,Mitch James,NZ Filler
155026,Drift Away,Sons Of Zion,NZ Filler
154616,Perfect Places,Lorde,NZ Filler
